Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bubaque,GW,75.51,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
7,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
13,Sao Felix Do Xingu,BR,80.69,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
16,Marsh Harbour,BS,76.87,heavy intensity rain,26.5412,-77.0636,Abaco Beach Resort
23,Carutapera,BR,81.03,overcast clouds,-1.195,-46.02,Lidera
46,Imbituba,BR,71.33,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
47,Caravelas,BR,78.1,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
48,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
51,Qiryat Shemona,IL,70.38,overcast clouds,33.2073,35.5721,"אכסניית אנ""א תל חי HI Tel Hai Hostel"
53,Kaberamaido,UG,72.9,light rain,1.7389,33.1594,"Little Orchard, Kaberamaido"
64,La Libertad,EC,76.66,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
77,Maragogi,BR,79.63,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
80,Matara,LK,78.96,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
85,Hualmay,PE,70.77,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
86,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
95,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
98,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
100,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
104,Murud,IN,80.01,few clouds,18.3258,72.965,On Point Plaza
106,Beira,MZ,77.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
108,Bengkulu,ID,75.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
122,Eyl,SO,81.86,clear sky,7.9803,49.8164,Amiin Hotel
134,Sao Joao Do Paraiso,BR,70.77,overcast clouds,-15.3136,-42.0144,Avenida Palace Hotel
135,Quarai,BR,73.54,few clouds,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
143,Buchanan,LR,80.1,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
150,Tabou,CI,76.39,overcast clouds,4.423,-7.3528,hotêl doufoulougou
159,Sao Filipe,CV,72.19,broken clouds,14.8961,-24.4956,Hotel Xaguate
160,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
162,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
179,Sakakah,SA,80.17,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
189,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
195,Morondava,MG,80.08,clear sky,-20.2833,44.2833,La Case Bambou
197,Riobamba,EC,71.96,broken clouds,-1.6667,-78.6333,Mansion Santa Isabella
199,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
206,Quelimane,MZ,78.75,few clouds,-17.8786,36.8883,Hotel Flamingo
219,Bandarbeyla,SO,81.63,clear sky,9.4942,50.8122,JABIR HOTEL
239,Namibe,AO,74.46,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
268,Ambilobe,MG,73.99,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
270,Karachi,PK,80.42,smoke,24.9056,67.0822,Sadaat
278,Banes,CU,78.17,moderate rain,20.9625,-75.7186,Hostal Iván y yailet
284,Ambanja,MG,75.56,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
298,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
315,Estelle,US,75.99,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
325,Carmona,PH,78.67,clear sky,14.3,121.0167,Deluxe Room with Poolside
336,Benguela,AO,77.67,moderate rain,-12.5763,13.4055,Hotel Praia Morena
345,Una,IN,78.55,clear sky,20.8167,71.0333,Hotel Harbhole
354,Posse,BR,77.13,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
363,Soyo,AO,79.07,overcast clouds,-6.1349,12.3689,Hotel Mpampa
365,San Martin,AR,79.34,clear sky,-33.081,-68.4681,Finca Vivencias
372,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
375,Luangwa,ZM,72.88,broken clouds,-15.6167,30.4167,Gerasimos Safari Lodge
376,Axim,GH,78.76,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
389,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
396,Inhambane,MZ,73.38,broken clouds,-23.865,35.3833,Oceano
399,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
400,Sinnamary,GF,79.54,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
410,Parana,AR,79.56,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
416,Sechura,PE,79.38,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
417,Wamba,NG,74.66,moderate rain,8.9333,8.6,Roma Zee Guest House Annex
425,Tshikapa,CD,75.47,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
428,Tonantins,BR,79.0,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
429,Varkkallai,IN,80.38,broken clouds,8.7341,76.7067,Hindustan Beach Retreat
430,Inongo,CD,74.35,broken clouds,-1.95,18.2667,Hotel Du Lac
454,Hargeysa,SO,72.5,few clouds,9.56,44.065,City Center Hotel
459,Yenagoa,NG,76.66,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
493,Bull Savanna,JM,78.37,light rain,17.8868,-77.5902,Big Red's
502,Rock Sound,BS,77.95,clear sky,24.9,-76.2,Pink Corral Bay Property
503,Esmeraldas,BR,80.71,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
508,Salinopolis,BR,80.44,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
521,Takoradi,GH,79.36,overcast clouds,4.8845,-1.7554,Raybow International Hotel
535,Padang,ID,77.76,overcast clouds,-0.9492,100.3543,Mercure Padang
556,Grand Gaube,MU,79.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
572,Black River,JM,81.59,light rain,18.0264,-77.8487,Idlers' Rest Beach Hotel
577,Galle,LK,81.0,overcast clouds,6.0367,80.217,Amangalla
594,Sao Joao Da Barra,BR,80.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
601,Nova Vicosa,BR,76.93,few clouds,-17.8919,-39.3719,Pousada Porto do Sol
609,Accra,GH,79.21,clear sky,5.556,-0.1969,Accra City Hotel
616,Patti,IN,80.67,few clouds,31.2808,74.8572,harike air travel
623,Itarema,BR,80.42,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
632,Sao Francisco,BR,81.55,overcast clouds,-15.9486,-44.8644,Pousada Peixe Vivo
678,Pombas,CV,73.18,overcast clouds,17.1503,-25.0201,Paul Paradis
703,Camana,PE,70.52,few clouds,-16.6228,-72.7111,Hostal Morales
711,Mananjary,MG,73.83,scattered clouds,-21.2167,48.3333,Vahiny Lodge
712,Curuca,BR,78.69,light rain,-0.7289,-47.8481,Hotel Curuça
752,Quatre Cocos,MU,79.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
764,Mbandaka,CD,72.88,broken clouds,0.0487,18.2603,Guest House Epervier
771,Hambantota,LK,79.9,broken clouds,6.1241,81.1185,Bungalow 63
774,Manaure,CO,81.41,broken clouds,11.7751,-72.4445,Hotel Palaaima
784,Tete,MZ,78.89,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
790,Huarmey,PE,71.94,overcast clouds,-10.0681,-78.1522,Hotel Miramar
793,Mayumba,GA,78.39,broken clouds,-3.432,10.6554,LIKWALE LODGE
803,Antalaha,MG,74.43,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
811,Sesheke,ZM,73.65,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
822,Kibala,TD,78.75,thunderstorm,9.1104,18.3463,hotel safari
823,Pau Brasil,BR,70.39,overcast clouds,-15.4642,-39.6511,Tina Hotel
829,Chabahar,IR,80.69,broken clouds,25.2919,60.643,هتل گدروشیا
843,Ilhabela,BR,72.48,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
848,San Rafael,AR,77.47,few clouds,-34.6177,-68.3301,Hotel San Rafael
855,Santa Maria,BR,76.3,scattered clouds,-29.6842,-53.8069,Hotel Morotin
870,Sinnamary,GF,79.54,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
892,Harper,LR,77.04,light rain,4.375,-7.7169,Screensaver
896,Ilebo,CD,77.34,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
899,Rafaela,AR,77.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
926,Riyadh,SA,77.14,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
937,Rocha,UY,70.95,broken clouds,-34.4833,-54.3333,Hotel Arrarte
940,Sao Jose Dos Campos,BR,76.86,scattered clouds,-23.1794,-45.8869,Astro Hotel
959,Oussouye,SN,80.78,scattered clouds,12.485,-16.5469,Auberge du Routard
963,Qeshm,IR,76.89,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
998,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
1000,Betioky,MG,75.06,broken clouds,-23.7167,44.3833,Bungalows Acacias Hotel
1011,Oriximina,BR,80.74,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
1020,Cordoba,AR,76.75,clear sky,-31.4135,-64.1811,Hotel Sussex
1022,Calca,PE,72.75,few clouds,-13.3333,-71.95,Qasana Hotel Plaza Calca
1052,Lubao,PH,76.37,clear sky,14.9167,120.55,Hacienda Gracia
1077,Chimbote,PE,70.7,broken clouds,-9.0853,-78.5783,Hotel Briliá
1082,Murshidabad,IN,81.07,clear sky,24.1833,88.2667,Hotel Raymond
1096,Arraial Do Cabo,BR,73.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
1098,Ariquemes,BR,80.29,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
1104,Bandar-E Lengeh,IR,75.9,few clouds,26.5579,54.8807,کافی نت پارس
1109,Domoni,KM,79.95,overcast clouds,-12.2569,44.5319,Al Djadid
1110,Cotonou,BJ,79.34,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
1122,Sakakah,SA,77.02,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
1137,Alta Floresta,BR,81.5,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
1159,Cockburn Town,TC,78.04,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
1169,Bambous Virieux,MU,79.21,few clouds,-20.3428,57.7575,Casa Tia Villa
1171,Iturama,BR,79.29,clear sky,-19.7281,-50.1956,República DominaCana
1174,Nuevitas,CU,78.84,broken clouds,21.5453,-77.2644,Hotel Caonaba
1185,Manono,CD,73.2,clear sky,-7.3,27.4167,Hotel hewa bora
1192,Najran,SA,74.14,clear sky,17.4924,44.1277,محمد هادي ال فطيح
1207,Oranjestad,AW,79.16,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
1214,Dingle,PH,76.37,few clouds,10.9995,122.6711,SEGAYA PROPERTY
1219,Bathsheba,BB,80.35,overcast clouds,13.2167,-59.5167,Atlantis Hotel
1226,Gambela,ET,80.13,few clouds,8.25,34.5833,Solomon Debebe Hotel
1238,Presidencia Roque Saenz Pena,AR,76.32,clear sky,-26.7852,-60.4388,Hotel Gualok
1260,Mala,PE,70.54,scattered clouds,-12.6581,-76.6308,Hotel Granda
1262,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
1269,Xuddur,SO,77.31,few clouds,4.1213,43.8894,Banjanay Hotel
1302,Kisangani,CD,71.38,light rain,0.5167,25.2,Grand Ramela Hotel
1328,Mahebourg,MU,79.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
1365,Braco Do Norte,BR,72.55,broken clouds,-28.275,-49.1656,Costa Nobre Hotel
1368,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
1386,General Pico,AR,75.45,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
1391,Betare Oya,CM,71.53,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
1395,Veraval,IN,80.47,clear sky,20.9,70.3667,Lords Inn Somnath
1397,Abu Dhabi,AE,78.96,clear sky,24.4667,54.3667,Beach Rotana
1411,Souillac,MU,77.9,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
1419,Cayenne,GF,78.84,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
1447,Mangaratiba,BR,71.29,few clouds,-22.9597,-44.0406,Portobello Resort & Safari
1448,Kibala,TD,80.37,overcast clouds,9.1104,18.3463,hotel safari
1449,Mumford,GH,78.57,overcast clouds,5.2618,-0.759,Spanish Villa
1456,Abonnema,NG,78.64,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
1459,Japura,ID,73.47,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
1463,Yarada,IN,80.92,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
1478,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1505,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
1506,Nizwa,OM,81.72,clear sky,22.9333,57.5333,Orient Apartments
1519,Rengo,CL,73.72,scattered clouds,-34.4167,-70.8667,Hostal Cartagena
1522,Cap Malheureux,MU,79.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
1527,Hassan,IN,73.78,few clouds,13.0006,76.0994,Southern Star Hassan
1543,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
1551,Parana,AR,78.55,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
1553,Sinjar,IQ,71.26,broken clouds,36.3209,41.8754,زوماني فون 1
1558,Luanda,AO,78.06,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
1587,Dwarka,IN,80.33,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
1606,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
1611,Kilindoni,TZ,81.73,light rain,-7.9139,39.6668,Bustani B&B
1645,Matay,EG,76.32,overcast clouds,28.419,30.7792,Nag Aespen
1658,Tema,GH,81.01,clear sky,5.667,-0.0166,Beulah Royale Hotel Tema
1665,Buta,CD,70.86,moderate rain,2.7858,24.73,HOTEL BISO NA BISO
1667,Grand Gaube,MU,79.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
1675,Bataipora,BR,76.77,clear sky,-22.2953,-53.2711,Hotel Vale do Ivinhema
1682,Jacqueville,CI,78.46,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
1694,Wajir,KE,81.41,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
1696,Tutoia,BR,81.5,overcast clouds,-2.7619,-42.2744,Pousada Guará's
1700,Dubai,AE,79.05,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
