Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bubaque,GW,75.51,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
16,Marsh Harbour,BS,76.87,heavy intensity rain,26.5412,-77.0636,Abaco Beach Resort
42,Marzuq,YE,73.65,clear sky,14.4,46.4667,
46,Imbituba,BR,71.33,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
51,Qiryat Shemona,IL,70.38,overcast clouds,33.2073,35.5721,"אכסניית אנ""א תל חי HI Tel Hai Hostel"
53,Kaberamaido,UG,72.9,light rain,1.7389,33.1594,"Little Orchard, Kaberamaido"
64,La Libertad,EC,76.66,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
85,Hualmay,PE,70.77,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
95,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
98,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
100,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
106,Beira,MZ,77.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
108,Bengkulu,ID,75.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
134,Sao Joao Do Paraiso,BR,70.77,overcast clouds,-15.3136,-42.0144,Avenida Palace Hotel
135,Quarai,BR,73.54,few clouds,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
150,Tabou,CI,76.39,overcast clouds,4.423,-7.3528,hotêl doufoulougou
152,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
159,Sao Filipe,CV,72.19,broken clouds,14.8961,-24.4956,Hotel Xaguate
163,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
197,Riobamba,EC,71.96,broken clouds,-1.6667,-78.6333,Mansion Santa Isabella
203,Hualmay,PE,70.77,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
215,Marzuq,YE,73.65,clear sky,14.4,46.4667,
217,Amapa,BR,77.43,overcast clouds,1.0,-52.0,
235,Sao Filipe,CV,72.19,broken clouds,14.8961,-24.4956,Hotel Xaguate
239,Namibe,AO,74.46,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
254,Namibe,AO,74.46,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
258,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
268,Ambilobe,MG,73.99,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
271,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
279,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
284,Ambanja,MG,75.56,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
314,Bengkulu,ID,75.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
315,Estelle,US,75.99,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
332,Bubaque,GW,75.51,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
336,Benguela,AO,77.67,moderate rain,-12.5763,13.4055,Hotel Praia Morena
354,Posse,BR,77.13,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
372,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
374,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
375,Luangwa,ZM,72.88,broken clouds,-15.6167,30.4167,Gerasimos Safari Lodge
389,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
396,Inhambane,MZ,73.38,broken clouds,-23.865,35.3833,Oceano
403,Madimba,TZ,77.63,few clouds,-10.4,40.3333,
417,Wamba,NG,74.66,moderate rain,8.9333,8.6,Roma Zee Guest House Annex
425,Tshikapa,CD,75.47,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
430,Inongo,CD,74.35,broken clouds,-1.95,18.2667,Hotel Du Lac
442,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
446,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
451,Tiznit,MA,73.65,overcast clouds,29.5833,-9.5,
454,Hargeysa,SO,72.5,few clouds,9.56,44.065,City Center Hotel
459,Yenagoa,NG,76.66,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
