City_ID,City,Country,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,59.88,59.88,91,5,6.98,clear sky
1,Mar Del Plata,AR,-38.0023,-57.5575,63.88,70.09,89,40,15.01,scattered clouds
2,Jamestown,US,42.097,-79.2353,31.64,33.39,75,100,17.27,snow
3,Bubaque,GW,11.2833,-15.8333,75.51,75.51,77,12,14.74,few clouds
4,Lagoa,PT,39.05,-27.9833,58.3,58.3,70,49,17.81,scattered clouds
5,Hithadhoo,MV,-0.6,73.0833,83.14,83.14,72,100,4.23,overcast clouds
6,Plettenberg Bay,ZA,-34.0527,23.3716,61.14,61.14,91,15,4.47,few clouds
7,Georgetown,MY,5.4112,100.3354,78.75,80.53,93,20,3.44,few clouds
8,Landeck,AT,47.1301,10.5636,40.21,52.54,90,14,3.0,few clouds
9,Port Elizabeth,ZA,-33.918,25.5701,57.49,63.1,93,0,2.3,clear sky
10,Cape Town,ZA,-33.9258,18.4232,58.87,60.12,86,0,14.97,clear sky
11,Ushuaia,AR,-54.8,-68.3,44.26,46.02,81,75,5.75,broken clouds
12,Tartus,SY,34.889,35.8866,66.11,66.11,81,100,8.16,overcast clouds
13,Sao Felix Do Xingu,BR,-6.6447,-51.995,80.69,80.69,90,100,1.86,overcast clouds
14,Strezhevoy,RU,60.7333,77.5889,26.53,26.53,90,67,9.57,broken clouds
15,Ponta Do Sol,PT,32.6667,-17.1,63.23,67.12,47,53,12.8,broken clouds
16,Marsh Harbour,BS,26.5412,-77.0636,76.87,76.87,75,85,4.47,heavy intensity rain
17,Bhandara,IN,21.1667,79.65,89.64,89.64,16,22,2.06,few clouds
18,Narsaq,GL,60.9167,-46.05,44.82,44.82,51,100,3.38,overcast clouds
19,Coihaique,CL,-45.5752,-72.0662,57.15,57.81,51,75,9.22,broken clouds
20,Jamestown,US,42.097,-79.2353,31.64,33.39,75,100,17.27,snow
21,Talnakh,RU,69.4865,88.3972,22.21,22.21,94,100,11.36,light snow
22,Hamilton,US,39.1834,-84.5333,38.23,41.63,86,100,19.57,overcast clouds
23,Carutapera,BR,-1.195,-46.02,81.03,81.03,80,100,5.88,overcast clouds
24,Lebu,CL,-37.6167,-73.65,57.51,57.51,86,100,5.97,overcast clouds
25,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.0,41.36,42,0,14.97,clear sky
26,Hithadhoo,MV,-0.6,73.0833,83.14,83.14,72,100,4.23,overcast clouds
27,Nioro,GM,13.35,-15.75,83.75,83.75,38,41,12.93,scattered clouds
28,Coquimbo,CL,-29.9533,-71.3436,56.93,56.93,82,100,6.91,overcast clouds
29,Punta Arenas,CL,-53.15,-70.9167,50.11,50.11,66,75,14.97,broken clouds
30,Gat,IL,31.61,34.7642,64.08,66.81,100,100,4.85,overcast clouds
31,Corinth,GR,37.9407,22.9573,49.89,52.9,87,100,3.98,overcast clouds
32,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,61.21,73,79,12.44,broken clouds
33,Marsa Matruh,EG,31.3525,27.2453,62.42,62.42,74,1,1.79,clear sky
34,Aviles,ES,43.5547,-5.9248,49.39,55.38,95,75,8.01,broken clouds
35,Korla,CN,41.7597,86.1469,57.92,57.92,15,6,2.21,clear sky
36,Rehoboth,NA,-23.3167,17.0833,68.18,68.18,37,13,6.4,few clouds
37,Qarqin,AF,37.4185,66.0436,61.39,61.39,64,81,5.75,broken clouds
38,Bria,CF,6.5423,21.9863,68.32,68.32,97,100,8.81,heavy intensity rain
39,Busselton,AU,-33.65,115.3333,61.57,61.57,87,94,5.21,overcast clouds
40,Yar-Sale,RU,66.8333,70.8333,11.01,11.01,93,99,9.55,overcast clouds
41,Torbay,CA,47.6666,-52.7314,41.29,44.58,66,75,32.21,broken clouds
42,Marzuq,YE,14.4,46.4667,73.65,73.65,54,8,5.3,clear sky
43,Harrisonburg,US,38.4496,-78.8689,32.02,37.17,94,100,0.0,light snow
44,Saldanha,ZA,-33.0117,17.9442,62.65,62.65,78,0,9.35,clear sky
45,Lipetsk,RU,52.6031,39.5708,43.97,43.97,94,100,10.27,overcast clouds
46,Imbituba,BR,-28.24,-48.6703,71.33,71.33,64,91,10.38,overcast clouds
47,Caravelas,BR,-17.7125,-39.2481,78.1,78.1,63,4,10.18,clear sky
48,Bambous Virieux,MU,-20.3428,57.7575,79.05,79.21,94,40,9.22,scattered clouds
49,Bredasdorp,ZA,-34.5322,20.0403,59.41,59.41,93,3,6.24,clear sky
50,Marsa Matruh,EG,31.3525,27.2453,62.42,62.42,74,1,1.79,clear sky
51,Qiryat Shemona,IL,33.2073,35.5721,70.38,70.38,61,100,1.83,overcast clouds
52,Redcliffe,AU,-27.2307,153.0973,56.21,64.42,93,0,8.05,clear sky
53,Kaberamaido,UG,1.7389,33.1594,72.9,72.9,72,100,3.24,light rain
54,Mar Del Plata,AR,-38.0023,-57.5575,63.88,70.09,89,40,15.01,scattered clouds
55,Kruisfontein,ZA,-34.0033,24.7314,60.89,60.89,90,6,2.48,clear sky
56,Geraldton,AU,-28.7667,114.6,61.21,61.21,55,0,13.8,clear sky
57,Margate,GB,51.3813,1.3862,51.69,54.3,71,100,1.99,overcast clouds
58,Richards Bay,ZA,-28.783,32.0377,65.53,65.53,89,100,7.63,light rain
59,Ushuaia,AR,-54.8,-68.3,44.26,46.02,81,75,5.75,broken clouds
60,Aswan,EG,24.0934,32.907,89.69,89.69,8,46,1.01,scattered clouds
61,Lebu,CL,-37.6167,-73.65,57.51,57.51,86,100,5.97,overcast clouds
62,Caravelas,BR,-17.7125,-39.2481,78.1,78.1,63,4,10.18,clear sky
63,Salalah,OM,17.0151,54.0924,82.49,82.49,78,75,5.75,broken clouds
64,La Libertad,EC,-2.2333,-80.9,76.66,76.66,73,0,13.8,clear sky
65,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,87.6,87.6,66,40,2.3,scattered clouds
66,Caucaia,BR,-3.7361,-38.6531,83.03,84.15,74,40,8.05,scattered clouds
67,Cape Town,ZA,-33.9258,18.4232,58.87,60.12,86,0,14.97,clear sky
68,Pechora,RU,65.1472,57.2244,27.46,27.46,97,100,4.43,overcast clouds
69,Hermanus,ZA,-34.4187,19.2345,60.8,60.8,91,2,9.75,clear sky
70,Chuy,UY,-33.6971,-53.4616,69.26,69.26,64,16,10.51,few clouds
71,Cape Town,ZA,-33.9258,18.4232,58.87,60.12,86,0,14.97,clear sky
72,Codrington,AU,-38.2667,141.9667,55.31,55.31,80,100,7.65,overcast clouds
73,Bredasdorp,ZA,-34.5322,20.0403,59.41,59.41,93,3,6.24,clear sky
74,Chivacoa,VE,10.1603,-68.895,89.8,89.8,47,92,7.14,overcast clouds
75,Ushuaia,AR,-54.8,-68.3,44.26,46.02,81,75,5.75,broken clouds
76,Ushuaia,AR,-54.8,-68.3,44.26,46.02,81,75,5.75,broken clouds
77,Maragogi,BR,-9.0122,-35.2225,79.63,79.63,81,51,8.14,broken clouds
78,Punta Arenas,CL,-53.15,-70.9167,50.11,50.11,66,75,14.97,broken clouds
79,Vokhma,RU,58.9303,46.7586,26.42,26.42,94,39,2.39,scattered clouds
80,Matara,LK,5.9485,80.5353,78.96,78.96,87,96,7.61,overcast clouds
81,Tasiilaq,GL,65.6145,-37.6368,33.96,33.96,97,100,2.57,light snow
82,Umm Lajj,SA,25.0213,37.2685,86.25,86.25,33,98,3.89,overcast clouds
83,Hofn,IS,64.2539,-15.2082,44.31,44.31,77,100,12.55,light rain
84,Verkhnyaya Inta,RU,65.9811,60.3094,29.53,29.53,98,99,10.92,overcast clouds
85,Hualmay,PE,-11.0964,-77.6139,70.77,70.77,74,88,10.47,overcast clouds
86,Souillac,MU,-20.5167,57.5167,79.18,79.18,94,40,9.22,scattered clouds
87,Richards Bay,ZA,-28.783,32.0377,65.53,65.53,89,100,7.63,light rain
88,Ushuaia,AR,-54.8,-68.3,44.26,46.02,81,75,5.75,broken clouds
89,Gat,IL,31.61,34.7642,64.08,66.81,100,100,4.85,overcast clouds
90,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,61.21,73,79,12.44,broken clouds
91,Bredasdorp,ZA,-34.5322,20.0403,59.41,59.41,93,3,6.24,clear sky
92,Olinda,BR,-8.0089,-34.8553,85.73,85.73,62,40,9.22,scattered clouds
93,Ushuaia,AR,-54.8,-68.3,44.26,46.02,81,75,5.75,broken clouds
