City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kribi,2.95,9.9167,80.69,85,83,10.18,CM,2022-04-16 17:57:12
1,Walvis Bay,-22.9575,14.5053,59.95,82,13,6.91,NA,2022-04-16 17:57:13
2,Abalak,58.1286,68.5944,41.04,91,95,11.27,RU,2022-04-16 17:57:13
3,Bar-Le-Duc,48.75,5.1667,61.18,71,1,12.73,FR,2022-04-16 17:57:14
4,Kibaya,-5.3,36.5667,59.85,99,100,0.81,TZ,2022-04-16 17:57:14
5,Saint-Philippe,-21.3585,55.7679,76.59,80,51,14.25,RE,2022-04-16 17:48:00
6,Raudeberg,61.9875,5.1352,47.07,70,99,21.54,NO,2022-04-16 17:57:14
7,Hithadhoo,-0.6,73.0833,83.52,65,96,3.74,MV,2022-04-16 17:57:15
8,Ginir,7.1333,40.7,61.05,84,98,5.48,ET,2022-04-16 17:57:15
9,Puerto Madryn,-42.7692,-65.0385,62.71,44,2,12.5,AR,2022-04-16 17:57:16
10,Tazovskiy,67.4667,78.7,18.41,94,100,14.52,RU,2022-04-16 17:57:16
11,Port Elizabeth,-33.918,25.5701,62.31,80,0,5.99,ZA,2022-04-16 17:53:42
12,Saint-Georges,12.0564,-61.7485,85.68,66,20,23.02,GD,2022-04-16 17:55:13
13,Kpandu,6.9954,0.2931,80.08,72,99,4.12,GH,2022-04-16 17:57:17
14,Port Alfred,-33.5906,26.891,61.18,82,100,10.83,ZA,2022-04-16 17:57:17
15,Imbituba,-28.24,-48.6703,70.57,58,89,11.92,BR,2022-04-16 17:57:17
16,Ushuaia,-54.8,-68.3,44.26,61,75,13.8,AR,2022-04-16 17:57:18
17,Putina,-15.4667,-69.4333,49.26,31,10,4.43,PE,2022-04-16 17:57:18
18,Saldanha,-33.0117,17.9442,64.45,63,0,11.18,ZA,2022-04-16 17:49:19
19,Mutis,6.2262,-77.4044,81.75,83,100,9.64,CO,2022-04-16 17:57:19
20,Japura,-0.3167,102.35,75.2,97,95,1.61,ID,2022-04-16 17:57:19
21,Dikson,73.5069,80.5464,13.1,94,100,14.72,RU,2022-04-16 17:57:19
22,Victoria,22.2855,114.1577,72.18,76,98,15.99,HK,2022-04-16 17:47:52
23,Hermanus,-34.4187,19.2345,58.8,71,0,20.09,ZA,2022-04-16 17:57:20
24,Lebu,-37.6167,-73.65,60.58,69,2,13.73,CL,2022-04-16 17:57:20
25,Chicama,-7.8447,-79.1469,63.14,61,18,10.65,PE,2022-04-16 17:57:21
26,Hualmay,-11.0964,-77.6139,71.64,72,81,11.81,PE,2022-04-16 17:53:16
27,Norden,53.6,7.2,55.38,70,74,7.45,DE,2022-04-16 17:57:21
28,Matara,5.9485,80.5353,80.2,84,55,3.27,LK,2022-04-16 17:57:22
29,Lyuban,52.7985,28.0048,36.55,88,98,15.79,BY,2022-04-16 17:57:22
30,Beloha,-25.1667,45.05,75.69,78,25,4.54,MG,2022-04-16 17:57:23
31,Mar Del Plata,-38.0023,-57.5575,68.02,76,20,12.66,AR,2022-04-16 17:46:50
32,Svetlyy,54.675,20.1347,39.25,78,26,12.57,RU,2022-04-16 17:57:23
33,Paamiut,61.994,-49.6678,29.03,71,4,18.92,GL,2022-04-16 17:57:23
34,Jamestown,42.097,-79.2353,46.18,63,75,13.0,US,2022-04-16 17:54:49
35,Koson,39.0375,65.585,70.12,28,100,8.03,UZ,2022-04-16 17:57:24
36,Tashtyp,52.7939,89.8983,44.69,71,25,3.47,RU,2022-04-16 17:57:24
37,Brae,60.3964,-1.353,46.04,93,100,17.22,GB,2022-04-16 17:57:25
38,West Bay,19.3667,-81.4167,86.07,75,75,3.44,KY,2022-04-16 17:57:25
39,Honningsvag,70.9821,25.9704,40.75,81,100,33.38,NO,2022-04-16 17:57:26
40,Cidreira,-30.1811,-50.2056,69.01,57,100,5.93,BR,2022-04-16 17:50:35
41,Den Helder,52.9599,4.7593,57.18,40,70,14.0,NL,2022-04-16 17:57:26
42,Tismana,45.05,22.9667,51.87,68,23,3.6,RO,2022-04-16 17:57:26
43,Lalibela,12.0333,39.0333,65.68,47,89,5.7,ET,2022-04-16 17:57:27
44,Bredasdorp,-34.5322,20.0403,59.49,69,22,14.74,ZA,2022-04-16 17:57:27
45,Amapa,1.0,-52.0,84.04,69,88,4.41,BR,2022-04-16 17:53:08
46,Ribeira Grande,38.5167,-28.7,64.8,68,40,4.61,PT,2022-04-16 17:49:25
47,Iberia,29.9502,-91.7507,81.97,74,75,14.97,US,2022-04-16 17:58:28
48,Cape Town,-33.9258,18.4232,64.81,59,0,11.5,ZA,2022-04-16 17:58:28
49,Bubaque,11.2833,-15.8333,76.08,74,32,21.36,GW,2022-04-16 17:51:47
50,Praia Da Vitoria,38.7333,-27.0667,64.65,72,20,6.13,PT,2022-04-16 17:58:29
51,Carnarvon,-24.8667,113.6333,77.07,69,75,16.11,AU,2022-04-16 17:55:43
52,Arraial Do Cabo,-22.9661,-42.0278,75.16,69,40,21.85,BR,2022-04-16 17:55:56
53,Mormugao,15.4,73.8,79.86,74,40,4.61,IN,2022-04-16 17:54:28
54,Marsa Matruh,31.3525,27.2453,68.2,60,95,13.8,EG,2022-04-16 17:58:30
55,Coquimbo,-29.9533,-71.3436,62.33,63,0,14.97,CL,2022-04-16 17:46:43
56,East London,-33.0153,27.9116,59.94,94,20,2.3,ZA,2022-04-16 17:53:32
57,Port Blair,11.6667,92.75,80.64,83,20,2.3,IN,2022-04-16 17:58:31
58,Cockburn Town,21.4612,-71.1419,80.56,74,75,14.97,TC,2022-04-16 17:54:36
59,Bay Roberts,47.5999,-53.2648,57.51,56,51,10.0,CA,2022-04-16 17:58:31
60,Apam,5.2848,-0.7371,76.71,87,100,10.22,GH,2022-04-16 17:58:32
61,Georgetown,5.4112,100.3354,82.33,88,20,2.3,MY,2022-04-16 17:45:17
62,Nanortalik,60.1432,-45.2371,32.14,78,6,11.68,GL,2022-04-16 17:58:32
63,Miraflores,19.2167,-98.8083,79.45,30,14,4.59,MX,2022-04-16 17:53:20
64,Vondrozo,-22.8167,47.2833,68.09,97,81,2.55,MG,2022-04-16 17:58:33
65,Namibe,-15.1961,12.1522,73.44,75,68,10.67,AO,2022-04-16 17:51:56
66,Salinopolis,-0.6136,-47.3561,81.66,79,68,7.58,BR,2022-04-16 17:52:04
67,Hurghada,27.2574,33.8129,86.04,19,0,0.0,EG,2022-04-16 17:58:33
68,Moissala,8.3404,17.7663,93.42,27,67,1.88,TD,2022-04-16 17:58:34
69,Caceres,39.522,-6.3748,73.06,53,8,6.46,ES,2022-04-16 17:58:34
70,Upernavik,72.7868,-56.1549,-4.43,86,61,16.4,GL,2022-04-16 17:54:44
71,Jablunka,49.3835,17.9502,46.62,58,39,10.0,CZ,2022-04-16 17:58:35
72,Maarianhamina,60.0973,19.9348,39.06,70,0,8.05,AX,2022-04-16 17:58:35
73,Barranca,-10.75,-77.7667,69.42,74,93,10.85,PE,2022-04-16 17:58:36
74,Lagoa,39.05,-27.9833,59.97,69,73,8.43,PT,2022-04-16 17:58:36
75,Sur,22.5667,59.5289,88.07,44,5,6.02,OM,2022-04-16 17:58:36
76,Mahebourg,-20.4081,57.7,77.29,78,40,10.36,MU,2022-04-16 17:50:46
77,Pokhara,28.2333,83.9833,72.23,21,29,8.43,NP,2022-04-16 17:58:37
78,Chuy,-33.6971,-53.4616,67.51,53,100,6.26,UY,2022-04-16 17:54:45
79,Tiznit,29.5833,-9.5,82.24,16,38,4.94,MA,2022-04-16 17:58:38
80,Rio Cuarto,-33.1307,-64.3499,75.47,37,0,11.5,AR,2022-04-16 17:58:38
81,Cayenne,4.9333,-52.3333,84.24,1,100,11.5,GF,2022-04-16 17:58:38
82,Tasiilaq,65.6145,-37.6368,37.62,97,100,17.47,GL,2022-04-16 17:58:39
83,Nicoya,10.1483,-85.452,95.22,35,100,7.43,CR,2022-04-16 17:54:34
84,Comodoro Rivadavia,-45.8667,-67.5,62.46,39,0,13.8,AR,2022-04-16 17:50:31
85,Verkhnyaya Maksakovka,61.635,50.9674,32.02,64,40,4.47,RU,2022-04-16 17:58:39
86,Ilulissat,69.2167,-51.1,17.62,57,40,12.66,GL,2022-04-16 17:49:19
87,Saint Anthony,45.0205,-93.218,38.93,42,20,11.5,US,2022-04-16 17:55:54
88,Itarema,-2.9248,-39.9167,84.18,70,77,7.43,BR,2022-04-16 17:58:40
89,Nangwa,-4.4667,35.45,58.15,98,100,4.65,TZ,2022-04-16 17:58:40
90,Kaduqli,11.0167,29.7167,91.22,33,100,4.54,SD,2022-04-16 17:58:41
91,Sikonge,-5.6333,32.7667,66.18,91,98,1.03,TZ,2022-04-16 17:58:50
92,Bergama,39.1207,27.1805,62.29,56,79,1.14,TR,2022-04-16 17:59:41
93,Qaanaaq,77.484,-69.3632,-8.01,75,69,6.35,GL,2022-04-16 17:59:42
94,Mopipi,-21.1833,24.8833,69.76,76,85,19.95,BW,2022-04-16 17:59:42
95,Antofagasta,-23.65,-70.4,65.48,70,12,8.43,CL,2022-04-16 17:59:42
96,Hobyo,5.3505,48.5268,83.35,73,66,15.32,SO,2022-04-16 17:51:57
